"";"X";"ID";"Kenmerk";"TypeKenmerk";"Waarde";"Type";"Invoertype";"Eenheid";"Vegetatielaag";"Waarde_vertaling";"Schaal_vertaling"
"9336";9336;201800021;"Alnus glutinosa";"Soort_Latijn";"1";"Ja/nee";NA;NA;"boomlaag";NA;NA
"20288";20288;201800021;"Cardamine amara";"Soort_Latijn";"1";"Ja/nee";NA;NA;"kruidlaag";NA;NA
"31322";31322;201800021;"Juncus effusus";"Soort_Latijn";"0";"Ja/nee";NA;NA;"kruidlaag";"0";"Ja/nee"
"31425";31425;201800021;"Polygonum hydropiper";"Soort_Latijn";"0";"Ja/nee";NA;NA;"kruidlaag";"0";"Ja/nee"
