"";"X";"ID";"Criterium";"Indicator";"Voorwaarde";"Waarde";"Gemiddelde";"Ondergrens";"Bovengrens";"Type";"Invoertype";"Eenheid"
"1";465;201800021;"Structuur";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"0.5";"0.5";"0";"1";"Decimaal getal";NA;NA
"2";3620;201800021;"Structuur";"aandeel dood hout";"aandeel dood hout";"2";"2";"0";"4";"Percentage";NA;"%"
"3";12707;201800021;"Verstoring";"verruiging";"bedekking verruiging";"65";"65";"60";"70";"Percentage";NA;"%"
"4";20482;201800021;"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"0";"0";"0";"Percentage";NA;"%"
"5";31640;201800021;"Structuur";"bosconstantie";"bosconstantie";"4.41875296993787";"4.41875296993787";"4.41875296993787";"4.41875296993787";"Geheel getal";NA;NA
"6";33850;201800021;"Structuur";"minimum structuurareaal";"MSA";"11.8916042320927";"11.8916042320927";"11.8916042320927";"11.8916042320927";"Decimaal getal";NA;NA
"7";36702;201800021;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur";"schaalgrootte ingrepen (ha)";"0.15";"0.15";"0";"0.3";"Decimaal getal";NA;NA
"8";39040;201800021;"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"grondvlak sleutelsoorten boom- en struiklaag";"50";"50";"0";"70";"Percentage";NA;NA
