ID;Habitattype;kwaliteit van onderzoek sleutelsoorten
JR0216;4030;Zeer goed (Zeker geen soorten over het hoofd gezien)
Ts2036;4030;Matig?(Waarschijnlijk soorten over het hoofd gezien)
