"";"Habitattype";"Versie";"Criterium";"Indicator";"Voorwaarde";"Waarde"
"1";"2330_bu";"Versie 3";"Structuur";"horizontale structuur";"bedekking open vegetaties";"100"
"2";"2330_bu";"Versie 3";"Structuur";"naakte bodem";"bedekking naakte bodem";"0"
"3";"2330_bu";"Versie 3";"Vegetatie";"sleutelsoorten";"aantal sleutelsoorten talrijk";"0"
"4";"2330_bu";"Versie 3";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"40"
"5";"2330_bu";"Versie 3";"Verstoring";"verbossing";"bedekking verbossing";"25"
"6";"2330_bu";"Versie 3";"Verstoring";"vergrassing";"bedekking vergrassing";"1"
