ID;Habitatsubtype;Soort_NL;Soort_Latijn;Bedekking
Jo1380;4010;Beenbreek;Narthecium ossifragum;Occ,<5%
WT0174;4010;Beenbreek;Narthecium ossifragum;Afw,0%
WT0173;4010;Beenbreek;Narthecium ossifragum;Afw,0%
Jo1380;4010;Bruine snavelbies;Rhynchospora fusca;Afw,0%
WT0174;4010;Bruine snavelbies;Rhynchospora fusca;Afw,0%
WT0173;4010;Bruine snavelbies;Rhynchospora fusca;Afw,0%
Jo1380;4010;Gewone dophei;Erica tetralix;40-50%
WT0174;4010;Gewone dophei;Erica tetralix;5-10%
WT0173;4010;Gewone dophei;Erica tetralix;Spor,<5%
Jo1380;4010;Kleine zonnedauw;Drosera intermedia;Afw,0%
WT0174;4010;Kleine zonnedauw;Drosera intermedia;Afw,0%
WT0173;4010;Kleine zonnedauw;Drosera intermedia;Afw,0%
Jo1380;4010;Klokjesgentiaan;Gentiana pneumonanthe;Afw,0%
WT0174;4010;Klokjesgentiaan;Gentiana pneumonanthe;Afw,0%
WT0173;4010;Klokjesgentiaan;Gentiana pneumonanthe;Afw,0%
Jo1380;4010;Ronde zonnedauw;Drosera rotundifolia;Afw,0%
WT0174;4010;Ronde zonnedauw;Drosera rotundifolia;Afw,0%
WT0173;4010;Ronde zonnedauw;Drosera rotundifolia;Afw,0%
Jo1380;4010;Trekrus;Juncus squarrosus;Afw,0%
WT0174;4010;Trekrus;Juncus squarrosus;Afw,0%
WT0173;4010;Trekrus;Juncus squarrosus;Afw,0%
Jo1380;4010;Tweenervige zegge;Carex binervis;Afw,0%
WT0174;4010;Tweenervige zegge;Carex binervis;Afw,0%
WT0173;4010;Tweenervige zegge;Carex binervis;Afw,0%
Jo1380;4010;Veenbies;Scirpus cespitosus;Afw,0%
WT0174;4010;Veenbies;Scirpus cespitosus;Afw,0%
WT0173;4010;Veenbies;Scirpus cespitosus;Afw,0%
Jo1380;4010;Veenpluis;Eriophorum polystachion;10-20%
WT0174;4010;Veenpluis;Eriophorum polystachion;Afw,0%
WT0173;4010;Veenpluis;Eriophorum polystachion;Afw,0%
Jo1380;4010;Wilde gagel;Myrica gale;10-20%
WT0174;4010;Wilde gagel;Myrica gale;Afw,0%
WT0173;4010;Wilde gagel;Myrica gale;Afw,0%
Jo1380;4010;Witte snavelbies;Rhynchospora alba;Afw,0%
WT0174;4010;Witte snavelbies;Rhynchospora alba;Afw,0%
WT0173;4010;Witte snavelbies;Rhynchospora alba;Afw,0%
Jo1380;4010;Glanzend veenmos;Sphagnum subnitens;Afw,0%
WT0174;4010;Glanzend veenmos;Sphagnum subnitens;Afw,0%
WT0173;4010;Glanzend veenmos;Sphagnum subnitens;Afw,0%
Jo1380;4010;Kussentjesveenmos;Sphagnum compactum;Afw,0%
WT0174;4010;Kussentjesveenmos;Sphagnum compactum;Afw,0%
WT0173;4010;Kussentjesveenmos;Sphagnum compactum;Afw,0%
Jo1380;4010;Week veenmos;Sphagnum molle;Afw,0%
WT0174;4010;Week veenmos;Sphagnum molle;Afw,0%
WT0173;4010;Week veenmos;Sphagnum molle;Afw,0%
Jo1380;4010;Wrattig veenmos;Sphagnum papillosum;Freq,<5%
WT0174;4010;Wrattig veenmos;Sphagnum papillosum;Afw,0%
WT0173;4010;Wrattig veenmos;Sphagnum papillosum;Afw,0%
Jo1380;4010;Zacht veenmos;Sphagnum tenellum;Afw,0%
WT0174;4010;Zacht veenmos;Sphagnum tenellum;Afw,0%
WT0173;4010;Zacht veenmos;Sphagnum tenellum;Afw,0%
