Schaal_opname;Tansley;Percentage
Afw,0%;afwezig;0
Spor,<5%;sporadisch;0,5
Rare,<5%;zeldzaam;1
Occ,<5%;occasioneel;3
Freq,<5%;frequent;4
5-10%;abundant;7,5
10-20%;abundant;15
20-30%;abundant;25
30-40%;codominant;35
40-50%;codominant;45
50-60%;dominant;55
60-70%;dominant;65
70-80%;dominant;75
80-90%;dominant;85
90-100%;dominant;95
